"Olark Integrations","Olark Integrations"
"Settings","Settings"
"Enabled","Enabled"
"Olark ID","Olark ID"
"Script Template","Script Template"
"Paste your embed code here. Supports custom variables.","Paste your embed code here. Supports custom variables."
"Visitor Recognition","Visitor Recognition"
"When enabled, the visitor name and e-mail address, if available, will be used to intiate the chat session.","When enabled, the visitor name and e-mail address, if available, will be used to intiate the chat session."
"Excluded Handles","Excluded Handles"
"Prevents the widget from being displayed on these pages. Enter one full layout handle per line.","Prevents the widget from being displayed on these pages. Enter one full layout handle per line."
"Top-Left","Top-Left"
"Top-Right","Top-Right"
"Bottom-Right","Bottom-Right"
"Bottom-Left","Bottom-Left"
"Start Expanded","Start Expanded"